"StdOrder";"RunOrder";"PtType";"Blocks";"subsample";"colsample_bytree";"colsample_bylevel";"learning_rate";"max_depth";"gamma";"n_estimators"
1;1;1;1;0,05;0,05;0,05;0,01;3;0,05;700
2;2;1;1;1;0,05;0,05;0,01;3;0,05;50
3;3;1;1;0,05;1;0,05;0,01;3;0,05;50
4;4;1;1;1;1;0,05;0,01;3;0,05;700
5;5;1;1;0,05;0,05;1;0,01;3;0,05;50
6;6;1;1;1;0,05;1;0,01;3;0,05;700
7;7;1;1;0,05;1;1;0,01;3;0,05;700
8;8;1;1;1;1;1;0,01;3;0,05;50
9;9;1;1;0,05;0,05;0,05;0,3;3;0,05;50
10;10;1;1;1;0,05;0,05;0,3;3;0,05;700
11;11;1;1;0,05;1;0,05;0,3;3;0,05;700
12;12;1;1;1;1;0,05;0,3;3;0,05;50
13;13;1;1;0,05;0,05;1;0,3;3;0,05;700
14;14;1;1;1;0,05;1;0,3;3;0,05;50
15;15;1;1;0,05;1;1;0,3;3;0,05;50
16;16;1;1;1;1;1;0,3;3;0,05;700
17;17;1;1;0,05;0,05;0,05;0,01;18;0,05;50
18;18;1;1;1;0,05;0,05;0,01;18;0,05;700
19;19;1;1;0,05;1;0,05;0,01;18;0,05;700
20;20;1;1;1;1;0,05;0,01;18;0,05;50
21;21;1;1;0,05;0,05;1;0,01;18;0,05;700
22;22;1;1;1;0,05;1;0,01;18;0,05;50
23;23;1;1;0,05;1;1;0,01;18;0,05;50
24;24;1;1;1;1;1;0,01;18;0,05;700
25;25;1;1;0,05;0,05;0,05;0,3;18;0,05;700
26;26;1;1;1;0,05;0,05;0,3;18;0,05;50
27;27;1;1;0,05;1;0,05;0,3;18;0,05;50
28;28;1;1;1;1;0,05;0,3;18;0,05;700
29;29;1;1;0,05;0,05;1;0,3;18;0,05;50
30;30;1;1;1;0,05;1;0,3;18;0,05;700
31;31;1;1;0,05;1;1;0,3;18;0,05;700
32;32;1;1;1;1;1;0,3;18;0,05;50
33;33;1;1;0,05;0,05;0,05;0,01;3;5;50
34;34;1;1;1;0,05;0,05;0,01;3;5;700
35;35;1;1;0,05;1;0,05;0,01;3;5;700
36;36;1;1;1;1;0,05;0,01;3;5;50
37;37;1;1;0,05;0,05;1;0,01;3;5;700
38;38;1;1;1;0,05;1;0,01;3;5;50
39;39;1;1;0,05;1;1;0,01;3;5;50
40;40;1;1;1;1;1;0,01;3;5;700
41;41;1;1;0,05;0,05;0,05;0,3;3;5;700
42;42;1;1;1;0,05;0,05;0,3;3;5;50
43;43;1;1;0,05;1;0,05;0,3;3;5;50
44;44;1;1;1;1;0,05;0,3;3;5;700
45;45;1;1;0,05;0,05;1;0,3;3;5;50
46;46;1;1;1;0,05;1;0,3;3;5;700
47;47;1;1;0,05;1;1;0,3;3;5;700
48;48;1;1;1;1;1;0,3;3;5;50
49;49;1;1;0,05;0,05;0,05;0,01;18;5;700
50;50;1;1;1;0,05;0,05;0,01;18;5;50
51;51;1;1;0,05;1;0,05;0,01;18;5;50
52;52;1;1;1;1;0,05;0,01;18;5;700
53;53;1;1;0,05;0,05;1;0,01;18;5;50
54;54;1;1;1;0,05;1;0,01;18;5;700
55;55;1;1;0,05;1;1;0,01;18;5;700
56;56;1;1;1;1;1;0,01;18;5;50
57;57;1;1;0,05;0,05;0,05;0,3;18;5;50
58;58;1;1;1;0,05;0,05;0,3;18;5;700
59;59;1;1;0,05;1;0,05;0,3;18;5;700
60;60;1;1;1;1;0,05;0,3;18;5;50
61;61;1;1;0,05;0,05;1;0,3;18;5;700
62;62;1;1;1;0,05;1;0,3;18;5;50
63;63;1;1;0,05;1;1;0,3;18;5;50
64;64;1;1;1;1;1;0,3;18;5;700
65;65;-1;1;0,05;0,525;0,525;0,155;10,5;2,525;375
66;66;-1;1;1;0,525;0,525;0,155;10,5;2,525;375
67;67;-1;1;0,525;0,05;0,525;0,155;10,5;2,525;375
68;68;-1;1;0,525;1;0,525;0,155;10,5;2,525;375
69;69;-1;1;0,525;0,525;0,05;0,155;10,5;2,525;375
70;70;-1;1;0,525;0,525;1;0,155;10,5;2,525;375
71;71;-1;1;0,525;0,525;0,525;0,01;10,5;2,525;375
72;72;-1;1;0,525;0,525;0,525;0,3;10,5;2,525;375
73;73;-1;1;0,525;0,525;0,525;0,155;3;2,525;375
74;74;-1;1;0,525;0,525;0,525;0,155;18;2,525;375
75;75;-1;1;0,525;0,525;0,525;0,155;10,5;0,05;375
76;76;-1;1;0,525;0,525;0,525;0,155;10,5;5;375
77;77;-1;1;0,525;0,525;0,525;0,155;10,5;2,525;50
78;78;-1;1;0,525;0,525;0,525;0,155;10,5;2,525;700
79;79;0;1;0,525;0,525;0,525;0,155;10,5;2,525;375
80;80;0;1;0,525;0,525;0,525;0,155;10,5;2,525;375
81;81;0;1;0,525;0,525;0,525;0,155;10,5;2,525;375
82;82;0;1;0,525;0,525;0,525;0,155;10,5;2,525;375
83;83;0;1;0,525;0,525;0,525;0,155;10,5;2,525;375
84;84;0;1;0,525;0,525;0,525;0,155;10,5;2,525;375
85;85;0;1;0,525;0,525;0,525;0,155;10,5;2,525;375
86;86;0;1;0,525;0,525;0,525;0,155;10,5;2,525;375
87;87;0;1;0,525;0,525;0,525;0,155;10,5;2,525;375
88;88;0;1;0,525;0,525;0,525;0,155;10,5;2,525;375
