dataset,rep,term,beta_ij,vertex_gap_fitted,predicts_interior_optimum
santander,0,lr*gnb,0.018047447655282767,0.028138583910844894,False
santander,0,lr*knn,0.2016521682723491,0.10392401721143896,True
santander,0,lr*rf,0.09314401227364122,0.00875289135457924,True
santander,0,lr*xgb,0.04288319544791319,0.02235738624743344,True
santander,0,gnb*knn,0.24698158272765847,0.13206260112228385,True
santander,0,gnb*rf,0.07527831771613602,0.036891475265424134,True
santander,0,gnb*xgb,0.01984526350780602,0.005781197663411453,True
santander,0,knn*rf,0.20192772168602913,0.09517112585685972,True
santander,0,knn*xgb,0.23588689685330771,0.1262814034588724,True
santander,0,rf*xgb,0.05524535707949685,0.03111027760201268,True
santander,1,lr*gnb,0.018516620479946788,0.028289870309579968,False
santander,1,lr*knn,0.19709785758354342,0.1015665506015263,True
santander,1,lr*rf,0.09308725154875053,0.008505160936574163,True
santander,1,lr*xgb,0.04384308626712752,0.02184269508471426,True
santander,1,gnb*knn,0.24239259310594674,0.12985642091110627,True
santander,1,gnb*rf,0.07599407825705917,0.03679503124615413,True
santander,1,gnb*xgb,0.021067360582673555,0.006447175224865709,True
santander,1,knn*rf,0.19697371708495304,0.09306138966495214,True
santander,1,knn*xgb,0.22944360910278366,0.12340924568624057,True
santander,1,rf*xgb,0.0567961894570419,0.030347856021288422,True
santander,2,lr*gnb,0.017700825127432873,0.027864969494098668,False
santander,2,lr*knn,0.19587191769857085,0.10090440019399449,True
santander,2,lr*rf,0.09311768941619447,0.009452612518640602,True
santander,2,lr*xgb,0.042786151051911414,0.021472138186886647,True
santander,2,gnb*knn,0.2410048752591738,0.12876936968809316,True
santander,2,gnb*rf,0.07658059932108885,0.03731758201273927,True
santander,2,gnb*xgb,0.021025810329302064,0.006392831307212021,True
santander,2,knn*rf,0.1980915338126219,0.09145178767535389,True
santander,2,knn*xgb,0.22947347856129793,0.12237653838088114,True
santander,2,rf*xgb,0.05654378496845558,0.03092475070552725,True
santander,3,lr*gnb,0.018320651689777978,0.02829044313255835,False
santander,3,lr*knn,0.1922642297098964,0.09806090716278748,True
santander,3,lr*rf,0.09245479264968359,0.00859988065936479,True
santander,3,lr*xgb,0.042570733330538735,0.02265949570662351,True
santander,3,gnb*knn,0.237683942752823,0.12635135029534583,True
santander,3,gnb*rf,0.07474603046829542,0.03689032379192314,True
santander,3,gnb*xgb,0.02038570032171938,0.00563094742593484,True
santander,3,knn*rf,0.19526658671741992,0.08946102650342269,True
santander,3,knn*xgb,0.22734578191157023,0.12072040286941099,True
santander,3,rf*xgb,0.05455819506518367,0.0312593763659883,True
santander,4,lr*gnb,0.018019478545402867,0.02803139813310851,False
santander,4,lr*knn,0.19498646513081186,0.09967799695027735,True
santander,4,lr*rf,0.09273773547927655,0.008454283959516973,True
santander,4,lr*xgb,0.04166795290863878,0.022345175666339534,True
santander,4,gnb*knn,0.24062033273520056,0.12770939508338586,True
santander,4,gnb*rf,0.0761223492592541,0.03648568209262548,True
santander,4,gnb*xgb,0.01955784342644873,0.005686222466768975,True
santander,4,knn*rf,0.19785313376765434,0.09122371299076037,True
santander,4,knn*xgb,0.22953072252430753,0.12202317261661688,True
santander,4,rf*xgb,0.05611939620573647,0.030799459625856507,True
santander,5,lr*gnb,0.018668558745090935,0.028315663532447077,False
santander,5,lr*knn,0.1923805551192573,0.0988608256922422,True
santander,5,lr*rf,0.0913048767089295,0.00814616836775417,True
santander,5,lr*xgb,0.043529271737678954,0.020871212023895525,True
santander,5,gnb*knn,0.2386771586319294,0.12717648922468927,True
santander,5,gnb*rf,0.07373551452221738,0.03646183190020125,True
santander,5,gnb*xgb,0.02113520775120692,0.007444451508551553,True
santander,5,knn*rf,0.195957183104412,0.09071465732448802,True
santander,5,knn*xgb,0.22554718522372003,0.11973203771613772,True
santander,5,rf*xgb,0.053772793907447713,0.029017380391649694,True
santander,6,lr*gnb,0.017769719526523897,0.028281723214970467,False
santander,6,lr*knn,0.19787438537849705,0.10156987035156484,True
santander,6,lr*rf,0.09202900139944892,0.00830462605314053,True
santander,6,lr*xgb,0.04293492905735574,0.022273355410072693,True
santander,6,gnb*knn,0.24412364601280823,0.1298515935665353,True
santander,6,gnb*rf,0.07509440090825292,0.036586349268110996,True
santander,6,gnb*xgb,0.02021302758114385,0.006008367804897774,True
santander,6,knn*rf,0.19962031318508822,0.09326524429842431,True
santander,6,knn*xgb,0.23344522516184338,0.12384322576163753,True
santander,6,rf*xgb,0.05352907755471836,0.030577981463213222,True
santander,7,lr*gnb,0.01809970155884605,0.02816700634206215,False
santander,7,lr*knn,0.19938354216556742,0.10313406201704223,True
santander,7,lr*rf,0.09324936458824296,0.009071858149644951,True
santander,7,lr*xgb,0.04297109349450179,0.022711132306055704,True
santander,7,gnb*knn,0.24567574173389417,0.13130106835910438,True
santander,7,gnb*rf,0.07597517456410596,0.0372388644917071,True
santander,7,gnb*xgb,0.020347937528913618,0.005455874036006447,True
santander,7,knn*rf,0.20235774431592368,0.09406220386739728,True
santander,7,knn*xgb,0.2352960920426205,0.12584519432309793,True
santander,7,rf*xgb,0.05615202141107689,0.031782990455700655,True
santander,8,lr*gnb,0.018100308762031114,0.0286329222037639,False
santander,8,lr*knn,0.19517776716753787,0.09865176600101944,True
santander,8,lr*rf,0.09542590381826155,0.009736823174408715,True
santander,8,lr*xgb,0.04298704628154404,0.022777121027840463,True
santander,8,gnb*knn,0.24150035714816642,0.12728468820478334,True
santander,8,gnb*rf,0.07818307139504199,0.038369745378172615,True
santander,8,gnb*xgb,0.020414254309016222,0.005855801175923436,True
santander,8,knn*rf,0.1992501783905729,0.08891494282661072,True
santander,8,knn*xgb,0.23174209149985642,0.1214288870288599,True
santander,8,rf*xgb,0.057061583227284274,0.03251394420224918,True
santander,9,lr*gnb,0.01867251111097218,0.028716532007134643,False
santander,9,lr*knn,0.19727536046433142,0.10063842700676806,True
santander,9,lr*rf,0.09367145902195628,0.008941795070761316,True
santander,9,lr*xgb,0.04395577570134379,0.022783434932443503,True
santander,9,gnb*knn,0.24443157406377392,0.1293549590139027,True
santander,9,gnb*rf,0.07735136263974307,0.03765832707789596,True
santander,9,gnb*xgb,0.02136607234903376,0.0059330970746911404,True
santander,9,knn*rf,0.19958236134371932,0.09169663193600675,True
