dataset,role,replication,entity,method_key,gate_quality,gate_cost,gate_both,core_n_points,core_n_front,aug_n_points,self_grading_share,core__hv_ratio,core__igd_plus,core__gd,core__spacing,core__spacing_cv,core__joint_nondominated_fraction,core__n_front,augmented__hv_ratio,augmented__igd_plus,augmented__gd,augmented__spacing,augmented__spacing_cv,augmented__joint_nondominated_fraction,augmented__n_front
magic,primary_geometry_confirmatory,0,HISTORICAL-WS-asrun,historical_ws_asrun,False,True,False,288,12,1264,0.0769,0.9136838920410364,0.06826413939237964,0.051139301177529836,0.01354120887334016,1.7416040238120032,0.29411764705882354,17,0.8922428960364867,0.05920836860948201,0.03191822647104162,0.015679987406108056,1.779741255345836,0.23529411764705882,17
magic,primary_geometry_confirmatory,0,HISTORICAL-WS,historical_ws,False,True,False,288,12,1264,0.0385,0.9537769493602279,0.04529955067101949,0.04433257539693864,0.12605085036901686,1.734258532497303,0.5,8,0.9312497892570876,0.04577861361197461,0.0301049836596305,0.15117269446063025,1.7928813919988227,0.25,8
magic,primary_geometry_confirmatory,0,WS-S,ws_s,False,True,False,288,12,1264,0.0385,0.9518519240527066,0.04764209924309498,0.048427445838343956,0.11387959028157475,1.9491907283398207,0.4,10,0.9289433626005217,0.046968934452417184,0.03432122949192655,0.1363385948620412,2.01466475680983,0.2,10
magic,primary_geometry_confirmatory,0,NBI-S,nbi_s,False,True,False,288,12,1264,0.0962,0.9531373933947697,0.04719387392161591,0.05013145184778467,0.021066040141013175,0.6619747347409605,0.46153846153846156,13,0.9304835193689278,0.04384993000343003,0.0325041174506505,0.02483546410631316,0.6805121782779229,0.38461538461538464,13
magic,primary_geometry_confirmatory,0,NBI-R,nbi_r,False,True,False,288,12,1264,0.0,0.8725050502747185,0.07890645572492423,0.04812965878217426,0.021022076103236576,0.9888706410778603,0.4444444444444444,9,0.8377732619030526,0.08356104882217262,0.03259664262490172,0.025412462926939265,1.0412666566898843,0.0,9
magic,primary_geometry_confirmatory,0,ANCHOR-INJECTION-CONTROL,nbi_s_plus_anchors,False,True,False,288,12,1264,,0.9680634466040343,0.03850081305914215,0.046550633858657195,0.03127947276532804,0.8171706184393771,0.5,14,0.9375328361615903,0.04013145452832187,0.03258227218387436,0.036667820854349234,0.8328200699013067,0.35714285714285715,14
magic,primary_geometry_confirmatory,0,GRID,grid,False,True,False,288,12,1264,0.25,1.0025568658146342,0.0018297893999347878,0.025756998438305236,0.03590701689542759,1.189295376408168,0.7391304347826086,23,0.9769341053123787,0.019895476773937586,0.02926752797622183,0.04216249210358017,1.2118094580209473,0.5652173913043478,23
magic,primary_geometry_confirmatory,0,RANDOM,random,False,True,False,288,12,1264,0.0,0.9000617135442285,0.059895511005097095,0.04980639993316731,0.0332559241417043,1.0479236516889618,0.5384615384615384,13,0.8562666967625802,0.07450849180747299,0.03815447141489156,0.03854131641954749,1.0502798060614589,0.0,13
magic,primary_geometry_confirmatory,0,NSGA2-MATCHED,nsga2,False,True,False,288,12,1264,0.3846,0.9356996559380686,0.05168340872944336,0.048978850823111285,0.008539508524289694,1.1143891306654348,0.6842105263157895,38,0.8908179124020332,0.056227718678951044,0.022195592239095268,0.010160570297664848,1.1703596578008562,0.5263157894736842,38
magic,primary_geometry_confirmatory,1,HISTORICAL-WS-asrun,historical_ws_asrun,False,True,False,288,9,1260,0.0,0.5053123004494325,0.3461975236928524,0.30859961588299667,0.003365778537410027,1.707825127659933,0.0,7,0.619531897745523,0.16848882519391314,0.05859004323525309,0.0026312155107752464,1.707825127659933,0.0,7
magic,primary_geometry_confirmatory,1,HISTORICAL-WS,historical_ws,False,True,False,288,9,1260,0.0938,0.6417075611384091,0.25345335661188145,0.26123793693958197,0.03924164931135198,2.3044823071194265,0.3,10,0.714353590902878,0.11545341460351664,0.0670202683249026,0.0349056253315824,2.3880251626559432,0.3,10
magic,primary_geometry_confirmatory,1,WS-S,ws_s,False,True,False,288,9,1260,0.125,0.7371473937356776,0.17850646787660718,0.2864202930702652,0.054581249051695147,1.5007365346804054,0.5,8,0.7742398107712034,0.09072288719881033,0.04289016222317869,0.046852237251651246,1.5318729879580775,0.5,8
magic,primary_geometry_confirmatory,1,NBI-S,nbi_s,False,True,False,288,9,1260,0.125,0.7552088744593671,0.17343497792352502,0.17072420703541996,0.05598648064494089,0.7659806859986505,0.8,10,0.8050820635545713,0.07605567503071609,0.02440568894777882,0.04824407773946866,0.8108661918876978,0.4,10
magic,primary_geometry_confirmatory,1,NBI-R,nbi_r,False,True,False,288,9,1260,0.1875,0.6089745738605684,0.28686085504571324,0.21852160649248914,0.013444825128417454,0.628253648596905,1.0,8,0.6830030027182123,0.14097797262669182,0.0016234676854380327,0.00926773959499313,0.5867024689897219,0.75,8
magic,primary_geometry_confirmatory,1,ANCHOR-INJECTION-CONTROL,nbi_s_plus_anchors,False,True,False,288,9,1260,,0.930731939694954,0.05469291670691363,0.1552038245776545,0.08520973262558505,0.9114819800624094,0.8181818181818182,11,0.9152596719945337,0.04555367826232666,0.0221869899525262,0.07081998652052392,0.9314451098527577,0.45454545454545453,11
magic,primary_geometry_confirmatory,1,GRID,grid,False,True,False,288,9,1260,0.125,0.9876769520128174,0.017450362844626977,0.09829623703628713,0.12284334881926653,0.6947937215997257,0.75,8,0.9526234736759517,0.018094306069357108,0.03350822612469489,0.08940669002489816,0.6034641990091594,0.5,8
magic,primary_geometry_confirmatory,1,RANDOM,random,False,True,False,288,9,1260,0.0,0.8672849070906439,0.07670665292611599,0.12630213457974454,0.04260007646556272,0.5713888137508408,0.07692307692307693,13,0.8553944636137534,0.08392291463699399,0.09071799010315816,0.03716828714853248,0.5601005015355749,0.0,13
magic,primary_geometry_confirmatory,1,NSGA2-MATCHED,nsga2,False,True,False,288,9,1260,0.1875,0.9899537900770329,0.03225608188542147,0.1268524128172262,0.0359103129281446,1.204364889902782,0.34782608695652173,23,0.9257825483888219,0.048542001912828106,0.050132258023201134,0.0314765369664786,1.1694788157981635,0.2608695652173913,23
magic,primary_geometry_confirmatory,2,HISTORICAL-WS-asrun,historical_ws_asrun,False,True,False,288,15,1267,0.0,0.6539796738821311,0.2755184853379023,0.09885826438345406,0.14541511398777743,1.8664210644570143,0.8,5,0.6016314397259012,0.1910303723572888,0.047012320935497925,0.14541511398777743,1.8664210644570143,0.0,5
magic,primary_geometry_confirmatory,2,HISTORICAL-WS,historical_ws,False,True,False,288,15,1267,0.0811,0.7723885706276709,0.16451634899857157,0.12118938591785043,0.1112865494434626,1.100019313759599,0.4444444444444444,9,0.7105622182659911,0.11720534558183143,0.10115714884831216,0.1112865494434626,1.100019313759599,0.3333333333333333,9
magic,primary_geometry_confirmatory,2,WS-S,ws_s,False,True,False,288,15,1267,0.0541,0.7876028804346251,0.1495317438592837,0.13457152916074147,0.11737538319457924,1.0599392067917655,0.3333333333333333,9,0.7245586886138501,0.11147811093043274,0.1152533317306527,0.11737538319457924,1.0599392067917655,0.2222222222222222,9
magic,primary_geometry_confirmatory,2,NBI-S,nbi_s,False,True,False,288,15,1267,0.1622,0.8669835573275014,0.11573386020553947,0.1163909034605367,0.052581953084946696,0.5570795355471213,0.5,12,0.7975852868901834,0.0856628335280276,0.07727962461602841,0.052581953084946696,0.5570795355471213,0.5,12
magic,primary_geometry_confirmatory,2,NBI-R,nbi_r,False,True,False,288,15,1267,0.0811,0.8196734977157206,0.15583889102999787,0.12216802041774297,0.051071535477755066,0.9397881590802267,0.6363636363636364,11,0.7540621921909375,0.12802392971176813,0.05946205731726091,0.051071535477755066,0.9397881590802267,0.2727272727272727,11
magic,primary_geometry_confirmatory,2,ANCHOR-INJECTION-CONTROL,nbi_s_plus_anchors,False,True,False,288,15,1267,,0.8669835573275014,0.1137843596492333,0.12250440692739072,0.051428525655624356,0.5263528115479816,0.46153846153846156,13,0.7975852868901834,0.08487249546466022,0.0865820400901196,0.051428525655624356,0.5263528115479816,0.46153846153846156,13
magic,primary_geometry_confirmatory,2,GRID,grid,False,True,False,288,15,1267,0.1892,1.0080792281059663,0.006924960993248947,0.06000139179541506,0.07963802028650352,1.1763472766396503,0.8823529411764706,17,0.9273868616786363,0.032113900153506285,0.05636087435266545,0.07963802028650352,1.1763472766396503,0.4117647058823529,17
magic,primary_geometry_confirmatory,2,RANDOM,random,False,True,False,288,15,1267,0.0,0.9319146214005678,0.037014200475724034,0.08525354996787315,0.12828771085777937,1.3307484764924347,0.6428571428571429,14,0.8573189011313109,0.07203712979800839,0.07797841664345183,0.12828771085777937,1.3307484764924347,0.0,14
magic,primary_geometry_confirmatory,2,NSGA2-MATCHED,nsga2,False,True,False,288,15,1267,0.2973,1.0003006886397168,0.03311938104326495,0.09310952077579791,0.02978580962279517,0.8298894585862796,0.7142857142857143,28,0.9202309605322532,0.05824832553255978,0.04200245680167807,0.02978580962279517,0.8298894585862796,0.39285714285714285,28
magic,primary_geometry_confirmatory,3,HISTORICAL-WS-asrun,historical_ws_asrun,False,True,False,288,10,1260,0.0,0.7222606501175859,0.17658717427837098,0.14719760942090288,0.07984157305742645,1.414388260126031,0.0,7,0.6784286512249227,0.18542830305658575,0.12852856531359372,0.07655891274457109,1.4138509932864196,0.0,7
magic,primary_geometry_confirmatory,3,HISTORICAL-WS,historical_ws,False,True,False,288,10,1260,0.0625,0.8214702455504159,0.12883733390918461,0.16608564768852818,0.1036138558807058,1.0643759451158437,0.6666666666666666,9,0.7708520474451821,0.11336402049982286,0.06991309564636869,0.10066155421664502,1.0444666436065166,0.2222222222222222,9
magic,primary_geometry_confirmatory,3,WS-S,ws_s,False,True,False,288,10,1260,0.0625,0.7979294455321114,0.1373991744421904,0.17595833061352353,0.10529661070051007,1.271855567359219,0.7777777777777778,9,0.7471761849738857,0.12367214733135069,0.06558142112098114,0.10257162800174237,1.2571304995423964,0.2222222222222222,9
magic,primary_geometry_confirmatory,3,NBI-S,nbi_s,False,True,False,288,10,1260,0.0938,0.8944830460733866,0.08869854470532725,0.10492763195454678,0.08276364284096059,0.8634490013586174,0.7272727272727273,11,0.8430317647108486,0.08019191435711732,0.0591585352805553,0.08584774025517211,0.8856334933745599,0.2727272727272727,11
magic,primary_geometry_confirmatory,3,NBI-R,nbi_r,False,True,False,288,10,1260,0.0625,0.829509849055482,0.13136358046983948,0.17526318636117458,0.07252648623743145,0.8825638825744535,0.6666666666666666,3,0.7826354025650998,0.1300399212934803,0.031940564161311046,0.07648716988433335,0.9247464849530815,0.6666666666666666,3
magic,primary_geometry_confirmatory,3,ANCHOR-INJECTION-CONTROL,nbi_s_plus_anchors,False,True,False,288,10,1260,,0.9173733445319594,0.06908882399161048,0.09618366262500122,0.07108158456478368,0.8051802609846089,0.75,12,0.8607036738807876,0.07142290804381404,0.062141470136408396,0.07293424484121762,0.8283382765596962,0.25,12
magic,primary_geometry_confirmatory,3,GRID,grid,False,True,False,288,10,1260,0.2812,1.028244317376488,0.009938826001610824,0.0682439407448607,0.06296173336341802,1.0572156152135357,0.6111111111111112,18,0.9682457155467569,0.016708187499462526,0.03123265298650274,0.06047788946432805,1.0269991780569747,0.5,18
magic,primary_geometry_confirmatory,3,RANDOM,random,False,True,False,288,10,1260,0.0625,0.8970221651197489,0.0735789668819877,0.07851732095929018,0.1242260285144924,1.5974807003026876,0.1875,16,0.8395315390207783,0.10149729172671014,0.05365215341754957,0.12679286133725776,1.6202294017241614,0.125,16
magic,primary_geometry_confirmatory,3,NSGA2-MATCHED,nsga2,False,True,False,288,10,1260,0.1875,0.9543768725818892,0.06337352405206119,0.11626215374731064,0.012044992946185922,1.0730409777257577,0.14893617021276595,47,0.8926058082656458,0.07522972087751968,0.05720640989703712,0.011769697203480863,1.051771583703122,0.1276595744680851,47
magic,primary_geometry_confirmatory,4,HISTORICAL-WS-asrun,historical_ws_asrun,False,True,False,288,11,1267,0.0,0.7571411664103364,0.14627389846252267,0.10227644730812897,0.011369973900734931,2.27838130770643,0.0,10,0.6872249899360628,0.17627682800201033,0.06526297452276501,0.013991163690245723,2.3390423751668195,0.0,10
magic,primary_geometry_confirmatory,4,HISTORICAL-WS,historical_ws,False,True,False,288,11,1267,0.0227,0.961284067308575,0.050031921518498584,0.03542698593784175,0.16044724952282602,2.250433357563232,0.3333333333333333,9,0.9388095601246815,0.050392660164142275,0.03320361777792437,0.19984103484131147,2.2936648635995454,0.1111111111111111,9
magic,primary_geometry_confirmatory,4,WS-S,ws_s,False,True,False,288,11,1267,0.0909,0.9660766284308943,0.04687843342411469,0.04126607066187227,0.13874826271848548,2.8942072778550716,0.35714285714285715,14,0.9443603073382019,0.04667122983492402,0.034261577203957234,0.17269191847607146,2.940548252431521,0.2857142857142857,14
magic,primary_geometry_confirmatory,4,NBI-S,nbi_s,False,True,False,288,11,1267,0.0909,0.9598466434124342,0.05344884317596636,0.056615738493238685,0.026332609258677565,0.6730894700348572,0.5454545454545454,11,0.9374541052352448,0.04947866746397706,0.03981628909639623,0.032465476483748534,0.7060846206359079,0.36363636363636365,11
magic,primary_geometry_confirmatory,4,NBI-R,nbi_r,False,True,False,288,11,1267,0.0455,0.8558774259578694,0.09696847556939776,0.04593441815630831,0.009073360035168544,1.362186429134196,0.46153846153846156,13,0.8130433136079805,0.09685671766338212,0.009543916336762217,0.011109268002240612,1.459364918056679,0.15384615384615385,13
magic,primary_geometry_confirmatory,4,ANCHOR-INJECTION-CONTROL,nbi_s_plus_anchors,False,True,False,288,11,1267,,0.9628540835469825,0.049974692948235845,0.05314158826550818,0.035402781260859925,0.8058985363658213,0.6363636363636364,11,0.9401843180600726,0.048626733160270726,0.035904474185893175,0.04463036517517217,0.8529550914931703,0.36363636363636365,11
magic,primary_geometry_confirmatory,4,GRID,grid,False,True,False,288,11,1267,0.25,1.0041418122773031,0.0013063054587936988,0.014710070155484981,0.061677688290990657,1.7149722570103199,0.9473684210526315,19,0.9925244197264579,0.006550051075273177,0.020852079644745194,0.07506754080908233,1.7634258708262973,0.5789473684210527,19
magic,primary_geometry_confirmatory,4,RANDOM,random,False,True,False,288,11,1267,0.0682,0.8867035662852574,0.08120880503126637,0.05403647838582299,0.016229439487867408,0.5370658453054151,0.8571428571428571,7,0.8422104919531692,0.09155840675281443,0.012811840659142279,0.01982424022371501,0.545859097993848,0.42857142857142855,7
magic,primary_geometry_confirmatory,4,NSGA2-MATCHED,nsga2,False,True,False,288,11,1267,0.2955,0.9089751941706802,0.07387389759821374,0.04938816140904425,0.015505854082757014,1.2884449000479887,0.84,25,0.8662864558424633,0.07704576742638744,0.009489057873308986,0.019109024185426943,1.334067837006962,0.52,25
magic,primary_geometry_confirmatory,5,HISTORICAL-WS-asrun,historical_ws_asrun,True,True,True,288,13,1266,0.0,0.7970236020633154,0.13860569805770268,0.10997643648530975,0.0619291133060157,2.095740127397873,0.16666666666666666,6,0.7235330770029289,0.15460341733989,0.12930024408624707,0.05955337325572379,2.051370515929794,0.0,6
magic,primary_geometry_confirmatory,5,HISTORICAL-WS,historical_ws,True,True,True,288,13,1266,0.027,0.873606122002277,0.08432536026561169,0.12365030327994186,0.09516831753769134,1.8978743432246552,0.6428571428571429,14,0.7821843367001429,0.09480529537992909,0.054749918018302764,0.09273368289237603,1.8277862797296516,0.07142857142857142,14
magic,primary_geometry_confirmatory,5,WS-S,ws_s,True,True,True,288,13,1266,0.1081,0.8504122912738163,0.08888512909406487,0.11390760333246458,0.22423116867416,2.0781636819741958,0.625,8,0.7510455461890972,0.10363089593852878,0.04425484382098227,0.22044468591210353,1.9554758661871476,0.5,8
magic,primary_geometry_confirmatory,5,NBI-S,nbi_s,True,True,True,288,13,1266,0.1351,0.9941211686379547,0.02860747855395773,0.08448860101207308,0.1126320517295887,0.9067778950688712,0.6666666666666666,9,0.9360398560487564,0.02777453828290456,0.02519417815626503,0.15281195933747577,1.0737083760492099,0.5555555555555556,9
magic,primary_geometry_confirmatory,5,NBI-R,nbi_r,True,True,True,288,13,1266,0.1351,0.9428017339919744,0.03947580363032162,0.155893567633484,0.1601590639418685,1.749695178699035,0.8571428571428571,7,0.8614048390532701,0.0690491800611138,0.013474621437557996,0.2186566988355225,1.9082507808226483,0.7142857142857143,7
magic,primary_geometry_confirmatory,5,ANCHOR-INJECTION-CONTROL,nbi_s_plus_anchors,True,True,True,288,13,1266,,1.004079867134376,0.021247135319706716,0.07603974091086577,0.0820334626189834,0.683849682409805,0.7,10,0.9360398560487564,0.02777453828290456,0.046140987187242424,0.10781623712335059,0.7783800984347842,0.5,10
magic,primary_geometry_confirmatory,5,GRID,grid,True,True,True,288,13,1266,0.2162,1.0298398551829206,0.0027127263437227334,0.049922371195141986,0.09238798313021473,1.0711135379397008,0.9230769230769231,13,0.9531003171838106,0.020231078686875775,0.03903415691093895,0.11822232252053792,1.1353303699913309,0.6153846153846154,13
magic,primary_geometry_confirmatory,5,RANDOM,random,True,True,True,288,13,1266,0.027,0.9005673216669672,0.051498925088966856,0.08401835987324283,0.17151336099755743,1.2820003635109887,0.36363636363636365,11,0.7896123687694114,0.12157452132852144,0.11081884361575577,0.19263133917279843,1.2352107115517152,0.09090909090909091,11
