subsample,colsample_bytree,colsample_bylevel,learning_rate,max_depth,gamma,n_estimators,Accuracy_Mean,Precision_Mean,Recall_Mean,Specificity_Mean,RocAuc_Mean,LogLoss_Mean,Leaves_Mean,Time_MeanFold
0.05,0.05,0.05,0.01,3.0,0.05,700,0.7595425383662329,1.0,0.033971136088755766,1.0,0.8863956459448978,0.458839613199234,1394.4,0.3385519332019612
1.0,0.05,0.05,0.01,3.0,0.05,50,0.7510879025314091,0.0,0.0,1.0,0.8777313804833587,0.5450089573860168,179.6,0.04016983318142593
0.05,1.0,0.05,0.01,3.0,0.05,50,0.7510879025314091,0.0,0.0,1.0,0.879196816514038,0.5072486519813537,267.2,0.04634048340376466
1.0,1.0,0.05,0.01,3.0,0.05,700,0.8487295628815421,0.7923598431563994,0.5318021172040494,0.9537603714698942,0.9066451094089528,0.3377614438533783,4582.2,0.49023766643367706
0.05,0.05,1.0,0.01,3.0,0.05,50,0.7510879025314091,0.0,0.0,1.0,0.8778475830667786,0.5308947443962098,223.6,0.04439206679817289
1.0,0.05,1.0,0.01,3.0,0.05,700,0.8387830512186796,0.8351080184998392,0.43922923354220905,0.9711968029230418,0.9048769317459037,0.3687023103237152,4230.6,0.4845139083918184
0.05,1.0,1.0,0.01,3.0,0.05,700,0.8526253175266101,0.7592041451377354,0.5979017762513491,0.9370413488619928,0.9116599135422954,0.3147831201553345,4752.0,0.5295086252037435
1.0,1.0,1.0,0.01,3.0,0.05,50,0.796220377961345,0.9909050015218706,0.1829832599289832,0.999448230189541,0.8802633803556648,0.4495679259300232,396.8,0.048297950020059946
0.05,0.05,0.05,0.3,3.0,0.05,50,0.810891694169535,0.867444375752845,0.27708703645464605,0.9878058460835806,0.8621786555686949,0.40540916919708253,96.2,0.034520716639235616
1.0,0.05,0.05,0.3,3.0,0.05,700,0.8600852635444023,0.7746442332107571,0.6180490190509572,0.9402967648626019,0.9148926305679014,0.3064921319484711,1576.6,0.32335516659077257
0.05,1.0,0.05,0.3,3.0,0.05,700,0.849517058935945,0.731048493114159,0.6257072240132668,0.9236881175306386,0.9044727617902553,0.3279401004314423,3073.2,0.47948441696353256
1.0,1.0,0.05,0.3,3.0,0.05,50,0.8538685917600907,0.7760231421297779,0.5809188405114428,0.9443247316738983,0.911176588833858,0.3162980377674103,323.2,0.04459055836778134
0.05,0.05,1.0,0.3,3.0,0.05,700,0.8530812245415056,0.7360515763032426,0.6400283457628902,0.9236888330669102,0.9103083347754334,0.31611875891685487,2692.6,0.4538133834255859
1.0,0.05,1.0,0.3,3.0,0.05,50,0.8534126847451949,0.7872774991379101,0.5636032646117143,0.9494564664687524,0.9073619786785011,0.3304935932159424,304.6,0.04432123356964439
0.05,1.0,1.0,0.3,3.0,0.05,50,0.848895280099805,0.7299434135870388,0.6238713994577453,0.9234672451853543,0.904029604729194,0.3272301495075226,345.8,0.047182291629724205
1.0,1.0,1.0,0.3,3.0,0.05,700,0.8678767298892656,0.7720997251297079,0.6658333806686331,0.9348341630509248,0.9237761899165274,0.2919450342655182,4162.4,0.43698663341347127
0.05,0.05,0.05,0.01,18.0,0.05,50,0.7510879025314091,0.0,0.0,1.0,0.8548851185456625,0.5519914507865906,96.4,0.033514675009064375
1.0,0.05,0.05,0.01,18.0,0.05,700,0.7906255880818278,0.9413656378431046,0.16982991156842397,0.9963581182918475,0.8930245606865906,0.4218249559402466,2734.6,0.46388321660924703
0.05,1.0,0.05,0.01,18.0,0.05,700,0.8524593684038745,0.7696596851053867,0.5815841208310878,0.9422280429321764,0.9108726100369422,0.3214618921279907,8938.0,1.0494512666016818
1.0,1.0,0.05,0.01,18.0,0.05,50,0.7510879025314091,0.0,0.0,1.0,0.905508681263853,0.45391479730606077,3820.8,0.15025306683965028
0.05,0.05,1.0,0.01,18.0,0.05,700,0.8337268723602078,0.8289226227432479,0.4185837924857406,0.97130717819898,0.9015642477351905,0.374717116355896,7075.0,0.7115644914098084
1.0,0.05,1.0,0.01,18.0,0.05,50,0.7510879025314091,0.0,0.0,1.0,0.8916572560318551,0.5271135568618774,2412.6,0.08205467518419027
0.05,1.0,1.0,0.01,18.0,0.05,50,0.7547763345780305,1.0,0.014819042921802547,1.0,0.9025426169338197,0.4407623052597046,2582.0,0.13455978338606656
1.0,1.0,1.0,0.01,18.0,0.05,700,0.8623646268377894,0.7635359158898567,0.6483523852142072,0.9332895181548299,0.9206608747940385,0.29997298717498777,236072.2,2.692652216809802
