subsample,colsample_bytree,colsample_bylevel,learning_rate,max_depth,gamma,n_estimators,Accuracy_Mean,Precision_Mean,Recall_Mean,Specificity_Mean,RocAuc_Mean,LogLoss_Mean,Leaves_Mean,Time_MeanFold
0.05,0.05,0.05,0.01,3.0,0.05,700,0.8772447724477244,0.8217964356958664,0.0382202220788553,0.998826467370286,0.8873426875297744,0.2965372323989868,1925.0,0.3698509084060788
1.0,0.05,0.05,0.01,3.0,0.05,50,0.8734317343173432,0.0,0.0,1.0,0.8312785731819297,0.36448103189468384,161.8,0.03289240838494152
0.05,1.0,0.05,0.01,3.0,0.05,50,0.8734317343173432,0.0,0.0,1.0,0.8819402583513071,0.35001309514045714,249.6,0.04022955000400543
1.0,1.0,0.05,0.01,3.0,0.05,700,0.8919229192291922,0.7060427104478633,0.25039469612332355,0.9848846564484302,0.9178346627061374,0.24936023652553557,4748.2,0.45623983338009566
0.05,0.05,1.0,0.01,3.0,0.05,50,0.8734317343173432,0.0,0.0,1.0,0.8343796511492414,0.3610420525074005,184.8,0.03755729179829359
1.0,0.05,1.0,0.01,3.0,0.05,700,0.8870028700287002,0.7764818324362808,0.1503018573009604,0.9937567940695885,0.8863175587002863,0.28289432525634767,3159.6,0.41959470002911986
0.05,1.0,1.0,0.01,3.0,0.05,700,0.9037310373103733,0.6496993017234832,0.5189333501177533,0.9594892424247433,0.9379071572633956,0.2025793820619583,5042.4,0.5024002084042877
1.0,1.0,1.0,0.01,3.0,0.05,50,0.8734317343173432,0.0,0.0,1.0,0.9254096416567961,0.2839666962623596,400.0,0.04169268342666328
0.05,0.05,0.05,0.3,3.0,0.05,50,0.8861008610086101,0.6659592006956991,0.20342926678310863,0.9850253362465334,0.8305432295193679,0.2905822336673737,144.0,0.03330564179923386
1.0,0.05,0.05,0.3,3.0,0.05,700,0.9029520295202953,0.6672374745089183,0.46483559136231795,0.9664366626891129,0.9402706512188397,0.20364013016223909,1684.4,0.2945632416056469
0.05,1.0,0.05,0.3,3.0,0.05,700,0.8934809348093481,0.5948379456426525,0.49723266877520944,0.9508987508718116,0.9172661290786588,0.2455562174320221,3415.4,0.46453379120212046
1.0,1.0,0.05,0.3,3.0,0.05,50,0.8972119721197211,0.6841426870398815,0.34886888745521966,0.9766699170222776,0.9282543304785122,0.22455207705497743,329.6,0.03849659999832511
0.05,0.05,1.0,0.3,3.0,0.05,700,0.8965969659696598,0.617188042553692,0.4820144450913439,0.9566726274883125,0.9235101608360067,0.228144308924675,2545.6,0.4167997833807021
1.0,0.05,1.0,0.3,3.0,0.05,50,0.8932349323493236,0.7038902476014277,0.2695053316758719,0.9836173042321834,0.9111697748839163,0.24997203052043915,228.4,0.03665566677227616
0.05,1.0,1.0,0.3,3.0,0.05,50,0.8959409594095942,0.607662087650378,0.5033883547596943,0.9528231927747349,0.924774133132537,0.22638313770294188,355.4,0.04210587521083653
1.0,1.0,1.0,0.3,3.0,0.05,700,0.9018860188601886,0.626730148383958,0.5565152397287219,0.9519314163947937,0.9401836308199325,0.20406847894191743,3865.6,0.38892315838020297
0.05,0.05,0.05,0.01,18.0,0.05,50,0.8734317343173432,0.0,0.0,1.0,0.8068802666570892,0.3670273721218109,147.6,0.03543396680615842
1.0,0.05,0.05,0.01,18.0,0.05,700,0.8842968429684298,0.834896354024594,0.10689997010275212,0.9969488526244694,0.8949345706160508,0.2870108187198639,3893.4,0.412920558382757
0.05,1.0,0.05,0.01,18.0,0.05,700,0.8971709717097172,0.7182857311417882,0.30870481975106606,0.9824437385480055,0.9284547864548148,0.23055624961853027,8680.2,0.8996751416008919
1.0,1.0,0.05,0.01,18.0,0.05,50,0.8734317343173432,0.0,0.0,1.0,0.9068864523105535,0.32372615933418275,2289.2,0.10447772482875735
0.05,0.05,1.0,0.01,18.0,0.05,700,0.8865928659286592,0.7950958534299977,0.13961227990118172,0.9948363969312236,0.8861493676347804,0.28258330225944517,4800.6,0.5753577836090699
