subsample,colsample_bytree,colsample_bylevel,learning_rate,max_depth,gamma,n_estimators,Accuracy_Mean,Precision_Mean,Recall_Mean,Specificity_Mean,RocAuc_Mean,LogLoss_Mean,Leaves_Mean,Time_MeanFold
0.05,0.05,0.05,0.01,3.0,0.05,700,0.7950838463840452,0.9202871329842548,0.45682242990654204,0.9785118861468733,0.8870739792950555,0.451000851392746,4503.4,0.4179922499926761
1.0,0.05,0.05,0.01,3.0,0.05,50,0.6581887384631063,0.993103448275862,0.02803738317757009,0.9998986315255955,0.8566814818560351,0.6108599424362182,368.0,0.03175106700509787
0.05,1.0,0.05,0.01,3.0,0.05,50,0.6923633137469377,0.9985185185185184,0.1252336448598131,0.9998986315255955,0.8785522092444037,0.5860194683074951,313.8,0.033038733643479645
1.0,1.0,0.05,0.01,3.0,0.05,700,0.8508144540603519,0.9050365122118127,0.6433644859813084,0.9633076420224193,0.9129151064294833,0.3805548846721649,5411.4,0.4001817998243496
0.05,0.05,1.0,0.01,3.0,0.05,50,0.6515509627014976,1.0,0.00897196261682243,1.0,0.8470177878641051,0.6124653577804565,300.2,0.03346589161083102
1.0,0.05,1.0,0.01,3.0,0.05,700,0.7944920657608876,0.9200491200588751,0.4553271028037383,0.978411082542387,0.885539454443258,0.44939404129981997,5308.4,0.3925779418088496
0.05,1.0,1.0,0.01,3.0,0.05,700,0.8658646133410602,0.8738906689158334,0.7229906542056075,0.9433402606926024,0.9210899557168378,0.32719449400901796,5185.6,0.4391068083932623
1.0,1.0,1.0,0.01,3.0,0.05,50,0.7776683782991316,0.936480699779264,0.39439252336448594,0.9855055406036201,0.8681229066908276,0.5268216490745544,400.0,0.0341580834472552
0.05,0.05,0.05,0.3,3.0,0.05,50,0.819203980786994,0.8154483466041317,0.6280373831775701,0.9228671667305998,0.8738325094559201,0.4156231641769409,326.8,0.033200741419568656
1.0,0.05,0.05,0.3,3.0,0.05,700,0.8458861660051742,0.8126115519978114,0.7304672897196263,0.908474332567678,0.8978146141753449,0.37500457763671874,4922.6,0.39088099978398533
0.05,1.0,0.05,0.3,3.0,0.05,700,0.8332674719731159,0.7713305553403733,0.7472897196261682,0.8798907336171033,0.8900304882899226,0.4988808870315552,4674.6,0.41989233300555495
1.0,1.0,0.05,0.3,3.0,0.05,50,0.8628416481591279,0.8720100842226557,0.7149532710280374,0.9430363093248213,0.9175215717318782,0.338577139377594,386.2,0.0318424582015723
0.05,0.05,1.0,0.3,3.0,0.05,700,0.8184150479137617,0.7552647601391282,0.7155140186915888,0.874215023383047,0.8711050035251098,0.4732221126556396,4629.2,0.4158932002261281
1.0,0.05,1.0,0.3,3.0,0.05,50,0.8420083706039108,0.8714723612161432,0.6459813084112149,0.9483073672902318,0.8982185438472259,0.3903606951236725,382.8,0.031531625194475055
0.05,1.0,1.0,0.3,3.0,0.05,50,0.8567948973171662,0.8369879383217104,0.7362616822429906,0.9221559441518247,0.9080015298232336,0.35318639874458313,366.0,0.034845133358612654
1.0,1.0,1.0,0.3,3.0,0.05,700,0.881769063052878,0.8711046906936772,0.7790654205607477,0.9374619162133586,0.9341783929846285,0.30716384649276735,5365.6,0.42371244162786753
0.05,0.05,0.05,0.01,18.0,0.05,50,0.6518796505454236,1.0,0.009906542056074765,1.0,0.8166843953994019,0.6119826674461365,2598.4,0.12094047500286251
1.0,0.05,0.05,0.01,18.0,0.05,700,0.7960040989358399,0.8586538097128132,0.5029906542056074,0.9548966775891967,0.8603021759869074,0.45273181796073914,103009.0,1.9437187164090575
0.05,1.0,0.05,0.01,18.0,0.05,700,0.8682305914826601,0.8703132871858946,0.734766355140187,0.9406036199945464,0.9266768160401095,0.32056567072868347,28834.2,1.3432927750283852
