subsample,colsample_bytree,colsample_bylevel,learning_rate,max_depth,gamma,n_estimators,Accuracy_Mean,Precision_Mean,Recall_Mean,Specificity_Mean,RocAuc_Mean,LogLoss_Mean,Leaves_Mean,Time_MeanFold
0.05,0.05,0.05,0.01,3.0,0.05,700,0.8972826086956521,0.9531931636267013,0.7779310344827587,0.9748878923766817,0.9646134219885573,0.3381891906261444,2106.4,0.3143532747868448
1.0,0.05,0.05,0.01,3.0,0.05,50,0.6347826086956522,1.0,0.07310344827586206,1.0,0.9490188650069584,0.6027712941169738,259.4,0.02810541642829776
0.05,1.0,0.05,0.01,3.0,0.05,50,0.7301630434782609,0.9893235042815001,0.3186206896551724,0.9977578475336323,0.9581374671408689,0.5588743329048157,225.0,0.02966102520003915
1.0,1.0,0.05,0.01,3.0,0.05,700,0.9364130434782609,0.9507827350724233,0.8848275862068965,0.9699551569506726,0.980552806556363,0.2029302954673767,4224.0,0.36848357480484994
0.05,0.05,1.0,0.01,3.0,0.05,50,0.6252717391304349,1.0,0.04896551724137931,1.0,0.9489384567805784,0.6019180655479431,201.4,0.028284700005315244
1.0,0.05,1.0,0.01,3.0,0.05,700,0.9179347826086955,0.9539549756195456,0.8324137931034483,0.973542600896861,0.9753123550332458,0.276314914226532,4532.8,0.3679492998169735
0.05,1.0,1.0,0.01,3.0,0.05,700,0.9339673913043478,0.9350645327011481,0.8951724137931034,0.9591928251121077,0.9761087057368177,0.1849020630121231,3696.6,0.41394980000332
1.0,1.0,1.0,0.01,3.0,0.05,50,0.898913043478261,0.9494938685422587,0.7862068965517242,0.9721973094170405,0.9427965053347765,0.4673977196216583,400.0,0.03360332502052188
0.05,0.05,0.05,0.3,3.0,0.05,50,0.9057065217391305,0.9165530085277312,0.8379310344827587,0.9497757847533632,0.9616715633214781,0.2613509386777878,133.6,0.022858166391961275
1.0,0.05,0.05,0.3,3.0,0.05,700,0.9483695652173914,0.9409473026412275,0.9275862068965518,0.9618834080717489,0.9855906912014843,0.15175883173942567,2624.4,0.307809941819869
0.05,1.0,0.05,0.3,3.0,0.05,700,0.9252717391304348,0.9124952644257215,0.8965517241379309,0.9439461883408071,0.9755582186485231,0.1986388862133026,1391.0,0.24654815839603544
1.0,1.0,0.05,0.3,3.0,0.05,50,0.9456521739130436,0.9477900562699112,0.913103448275862,0.9668161434977579,0.9831884954383794,0.16074187755584718,287.4,0.02941074159462005
0.05,0.05,1.0,0.3,3.0,0.05,700,0.9260869565217391,0.9149694633028901,0.8965517241379309,0.9452914798206278,0.9739948971702489,0.2049696296453476,1526.8,0.2543844916159287
