StdOrder,RunOrder,PtType,Blocks,subsample,colsample_bytree,colsample_bylevel,learning_rate,max_depth,gamma,n_estimators,Accuracy_Mean,Precision_Mean,Recall_Mean,Specificity_Mean,Time_MeanFold
1.0,1.0,1.0,1.0,0.05,0.05,0.05,0.01,3.0,0.05,700.0,0.7957939011566773,0.9249404151766975,0.4564888261317252,0.979808344436916,0.7900529000209644
2.0,2.0,1.0,1.0,1.0,0.05,0.05,0.01,3.0,0.05,50.0,0.6670872765509989,0.9927518427518427,0.053677275385067745,0.9997567238727193,0.05760089159011841
3.0,3.0,1.0,1.0,0.05,1.0,0.05,0.01,3.0,0.05,50.0,0.6957413249211357,0.9968031143093075,0.13516853317055227,0.9997567238727193,0.05994900022633374
4.0,4.0,1.0,1.0,1.0,1.0,0.05,0.01,3.0,0.05,700.0,0.8530494216614091,0.8951453989510492,0.6595367224437729,0.9579948589836779,0.7574734083842486
5.0,5.0,1.0,1.0,0.05,0.05,1.0,0.01,3.0,0.05,50.0,0.6547318611987383,0.9939393939393939,0.018240533599864946,0.999918896999189,0.059978974796831605
6.0,6.0,1.0,1.0,1.0,0.05,1.0,0.01,3.0,0.05,700.0,0.7965825446898003,0.9221579863823142,0.460525483172397,0.9788352728029454,0.7514977250248194
7.0,7.0,1.0,1.0,0.05,1.0,1.0,0.01,3.0,0.05,700.0,0.8660357518401683,0.8724684535283995,0.7251777343247772,0.9424257785904515,0.7918191249947995
8.0,8.0,1.0,1.0,1.0,1.0,1.0,0.01,3.0,0.05,50.0,0.7792323869610935,0.929193509464221,0.4028103209447561,0.9833764162204688,0.0581561081809923
9.0,9.0,1.0,1.0,0.05,0.05,0.05,0.3,3.0,0.05,50.0,0.8182439537329127,0.805373702615236,0.6371116201745648,0.9164773222267918,0.060090808174572886
10.0,10.0,1.0,1.0,1.0,0.05,0.05,0.3,3.0,0.05,700.0,0.8446372239747634,0.8117243417291593,0.7268230974685087,0.9085308061546231,0.7519678586162627
11.0,11.0,1.0,1.0,0.05,1.0,0.05,0.3,3.0,0.05,700.0,0.8404311251314406,0.7868139311398433,0.7494025957764131,0.8897980841018723,0.7876916998066008
12.0,12.0,1.0,1.0,1.0,1.0,0.05,0.3,3.0,0.05,50.0,0.8603575184016824,0.8675790039593355,0.7115705352880475,0.9410474878287968,0.05714050019159913
13.0,13.0,1.0,1.0,0.05,0.05,1.0,0.3,3.0,0.05,700.0,0.8197160883280757,0.7607077878336328,0.7111290364054902,0.8786095191318593,0.7884274584241211
14.0,14.0,1.0,1.0,1.0,0.05,1.0,0.3,3.0,0.05,50.0,0.8419558359621451,0.8523938550629427,0.6659678037862247,0.9373987075462612,0.057834249828010796
15.0,15.0,1.0,1.0,0.05,1.0,1.0,0.3,3.0,0.05,50.0,0.8588853838065195,0.8404879013491623,0.7389356399944994,0.9239376805462272,0.06005299179814756
16.0,16.0,1.0,1.0,1.0,1.0,1.0,0.3,3.0,0.05,700.0,0.8829652996845425,0.8727262491830624,0.7811002925810523,0.938209507428305,0.7615386585704982
17.0,17.0,1.0,1.0,0.05,0.05,0.05,0.01,18.0,0.05,50.0,0.6547318611987382,0.9875,0.018391016632511713,0.9998377939983779,0.23699555024504662
